Higher-level clade (strict phylogenetic order),Traditional Order,Traditional Family,Species,log10 productivity,log10 mass,Nest type,Foraging habitat,Developmental mode,Time of activity,Social system,Migratory mode,Diet
Gruiformes-Cuculiformes,Gruiformes,Rallidae,Porzana porzana,0.39,1.94,open,freshwater,precocial,diurnal,Pair,migrant,omnivore
Gruiformes-Cuculiformes,Gruiformes,Rallidae,Porphyrio porphyrio,-0.698,2.889,open,freshwater,semialtricial,crepuscular,Cooperative,nonmigrant,vegetation
Gruiformes-Cuculiformes,Gruiformes,Rallidae,Porzana pusilla,0.359,1.549,open,freshwater,precocial,diurnal,Pair,migrant,invertebrate
Gruiformes-Cuculiformes,Gruiformes,Rallidae,Porzana parva,0.402,1.696,open,freshwater,precocial,diurnal,Pair,migrant,invertebrate
Gruiformes-Cuculiformes,Gruiformes,Rallidae,Crex crex,-0.078,2.19,open,terrestrial,precocial,crepuscular,Pair,migrant,omnivore
Gruiformes-Cuculiformes,Gruiformes,Rallidae,Rallus longirostris,-0.324,2.414,open,freshwater,semialtricial,diurnal,Pair,migrant,omnivore
Gruiformes-Cuculiformes,Gruiformes,Rallidae,Rallus aquaticus,0.281,2.044,open,freshwater,precocial,diurnal,Pair,migrant,omnivore
Gruiformes-Cuculiformes,Gruiformes,Gruidae,Balearica pavonina,-0.973,3.555,open,freshwater,semialtricial,diurnal,Pair,nonmigrant,omnivore
Gruiformes-Cuculiformes,Gruiformes,Gruidae,Grus leucogeranus,-1.176,3.772,open,freshwater,semialtricial,diurnal,Pair,migrant,omnivore
Gruiformes-Cuculiformes,Gruiformes,Gruidae,Grus canadensis,-1.117,3.633,open,freshwater,semialtricial,diurnal,Pair,migrant,omnivore
Gruiformes-Cuculiformes,Gruiformes,Gruidae,Grus grus,-1.177,3.74,open,freshwater,semialtricial,diurnal,Pair,migrant,omnivore
